a;b;sum;difference;product;quotient;xor
-581;168;-413;-749;-97608;-4.0;-749
-9509;-8795;-18304;-714;83631655;1.0;1918
7244;-5636;1608;12880;-40827184;-2.0;-2640
2257;-309;1948;2566;-697413;-8.0;-2534
-4270;-6699;-10969;2429;28604730;0.0;2695
6036;-9771;-3735;15807;-58977756;-1.0;-12735
3795;4901;8696;-1106;18599295;0.0;7670
-8520;-9889;-18409;1369;84254280;0.0;2023
6016;-4247;1769;10263;-25549952;-2.0;-1815
-433;-3547;-3980;3114;1535851;0.0;3178
-4999;290;-4709;-5289;-1449710;-18.0;-4773
2740;-8735;-5995;11475;-23933900;-1.0;-10411
2919;-5040;-2121;7959;-14711760;-1.0;-6345
-1566;8379;6813;-9945;-13121514;-1.0;-9895
2054;1264;3318;790;2596256;1.0;3318
2974;553;3527;2421;1644622;5.0;2487
-6356;8185;1829;-14541;-52023860;-1.0;-1835
9811;-3734;6077;13545;-36634274;-3.0;-10439
9775;751;10526;9024;7341025;13.0;9408
8855;-3739;5116;12594;-33108845;-3.0;-11278
6397;9167;15564;-2770;58641299;0.0;15154
-9575;-4851;-14426;-4724;46448325;1.0;14228
-6939;-6108;-13047;-831;42383412;1.0;3265
-9588;-6202;-15790;-3386;59464776;1.0;15690
-846;4840;3994;-5686;-4094640;-1.0;-4518
-7561;-5360;-12921;-2201;40526960;1.0;2407
8836;-8122;714;16958;-71765992;-2.0;-15678
-9950;-2180;-12130;-7770;21691000;4.0;11870
346;9990;10336;-9644;3456540;0.0;9820
8126;471;8597;7655;3827346;17.0;7785
7752;-7021;731;14773;-54426792;-2.0;-1317
9683;3313;12996;6370;32079779;2.0;10530
-4726;2964;-1762;-7690;-14007864;-2.0;-6626
-1708;-1964;-3672;256;3354512;0.0;256
-6302;9729;3427;-16031;-61312158;-1.0;-16029
9688;4771;14459;4917;46221448;2.0;14203
618;3562;4180;-2944;2201316;0.0;3968
7730;3811;11541;3919;29459030;2.0;4305
3018;-9160;-6142;12178;-27644880;-1.0;-10254
480;330;810;150;158400;1.0;170
3083;-660;2423;3743;-2034780;-5.0;-3737
4468;7082;11550;-2614;31642376;0.0;2782
-6282;2977;-3305;-9259;-18701514;-3.0;-4905
9450;-7908;1542;17358;-74730600;-2.0;-14858
4053;-808;3245;4861;-3274824;-6.0;-3315
6939;7564;14503;-625;52486596;0.0;1687
-8865;-5333;-14198;-3532;47277045;1.0;13940
-8589;2904;-5685;-11493;-24942456;-3.0;-10965
-7595;-1554;-9149;-6041;11802630;4.0;7099
-9716;3017;-6699;-12733;-29313172;-4.0;-11835
6362;-1395;4967;7757;-8874990;-5.0;-7593
-5382;-4167;-9549;-1215;22426794;1.0;1347
-2530;-4113;-6643;1583;10405890;0.0;6641
2165;-2650;-485;4815;-5737250;-1.0;-557
-5831;6576;745;-12407;-38344656;-1.0;-3959
203;8522;8725;-8319;1729966;0.0;8577
7307;-7451;-144;14758;-54444457;-1.0;-402
-8270;3366;-4904;-11636;-27836820;-3.0;-11628
-5389;-4016;-9405;-1373;21642224;1.0;6819
-770;3215;2445;-3985;-2475550;-1.0;-3983
9843;3779;13622;6064;37196697;2.0;10416
8258;8371;16629;-113;69127718;0.0;241
6158;-576;5582;6734;-3547008;-11.0;-6706
5363;9181;14544;-3818;49237703;0.0;14126
9950;-9885;65;19835;-98355750;-2.0;-67
-1544;4493;2949;-6037;-6937192;-1.0;-6027
9692;-9053;639;18745;-87741676;-2.0;-1665
330;-961;-631;1291;-317130;-1.0;-651
6715;2697;9412;4018;18110355;2.0;4274
-6845;1561;-5284;-8406;-10685045;-5.0;-7334
9922;5664;15586;4258;56198208;1.0;12514
2134;3856;5990;-1722;8228704;0.0;1862
2104;7584;9688;-5480;15956736;0.0;5528
-8113;-2056;-10169;-6057;16680328;3.0;6071
-8938;6078;-2860;-15016;-54325164;-2.0;-13656
5154;-3279;1875;8433;-16899966;-2.0;-6381
1156;8173;9329;-7017;9447988;0.0;7017
-1202;-6622;-7824;5420;7959644;0.0;7532
-1726;2981;1255;-4707;-5145206;-1.0;-3353
-108;-793;-901;685;85644;0.0;883
621;-7115;-6494;7736;-4418415;-1.0;-6568
7937;4403;12340;3534;34946611;1.0;3634
6001;-7603;-1602;13604;-45625603;-1.0;-2756
-4017;-3110;-7127;-907;12492870;1.0;917
-884;-9675;-10559;8791;8552700;0.0;9913
-7884;-8526;-16410;642;67218984;0.0;16262
9718;4873;14591;4845;47355814;1.0;14079
9107;8911;18018;196;81152477;1.0;348
7201;2767;9968;4434;19925167;2.0;5870
5642;9481;15123;-3839;53491802;0.0;13059
-7446;8264;818;-15710;-61533744;-1.0;-15710
-4873;-7019;-11892;2146;34203587;0.0;2146
2775;5391;8166;-2616;14960025;0.0;8152
643;5543;6186;-4900;3564149;0.0;5924
3988;-6572;-2584;10560;-26209136;-1.0;-5696
106;-2830;-2724;2936;-299980;-1.0;-2920
2427;-7602;-5175;10029;-18450054;-1.0;-5323
-5487;6843;1356;-12330;-37547541;-1.0;-4054
-9296;-4721;-14017;-4575;43886416;1.0;13887
9562;1219;10781;8343;11656078;7.0;8601
-8394;7035;-1359;-15429;-59051790;-2.0;-15283
-9142;3949;-5193;-13091;-36101758;-3.0;-11481
8973;4326;13299;4647;38817198;2.0;13291
8853;6779;15632;2074;60014487;1.0;14574
3094;-2981;113;6075;-9223214;-2.0;-1971
1254;1213;2467;41;1521102;1.0;91
9332;-7750;1582;17082;-72323000;-2.0;-14898
-9786;5938;-3848;-15724;-58109268;-2.0;-12556
5270;-9508;-4238;14778;-50107160;-1.0;-12726
-2223;-5423;-7646;3200;12055329;0.0;7552
-427;-6995;-7422;6568;2986865;0.0;6904
-3658;417;-3241;-4075;-1525386;-9.0;-4073
-7879;-8001;-15880;122;63039879;0.0;390
7344;-261;7083;7605;-1916784;-29.0;-7605
3550;-5747;-2197;9297;-20401850;-1.0;-7085
-475;4016;3541;-4491;-1907600;-1.0;-3691
6391;-1773;4618;8164;-11331243;-4.0;-7708
-9463;3282;-6181;-12745;-31057566;-3.0;-10277
-1068;3337;2269;-4405;-3563916;-1.0;-2339
6896;551;7447;6345;3799696;12.0;6359
5139;8841;13980;-3702;45433899;0.0;13978
7270;1179;8449;6091;8571330;6.0;6397
3292;7944;11236;-4652;26151648;0.0;5076
-4136;-5953;-10089;1817;24621608;0.0;1895
-1427;2705;1278;-4132;-3860035;-1.0;-3844
8464;9871;18335;-1407;83548144;0.0;1951
3459;3648;7107;-189;12618432;0.0;963
-7151;5234;-1917;-12385;-37428334;-2.0;-3997
2489;-9639;-7150;12128;-23991471;-1.0;-11296
1205;-2015;-810;3220;-2428075;-1.0;-876
-4766;-6494;-11260;1728;30950404;0.0;3008
8830;-7397;1433;16227;-65315510;-2.0;-16027
-9217;-6186;-15403;-3031;57016362;1.0;15401
-4932;4058;-874;-8990;-20014056;-2.0;-7322
715;-6851;-6136;7566;-4898465;-1.0;-6154
8017;1565;9582;6452;12546605;5.0;6476
-1373;-1433;-2806;60;1967509;0.0;196
-9036;-6345;-15381;-2691;57333420;1.0;15235
-9574;-6862;-16436;-2712;65696788;1.0;16296
-4783;3736;-1047;-8519;-17869288;-2.0;-7223
-473;1991;1518;-2464;-941743;-1.0;-1568
6978;-3166;3812;10144;-22092348;-3.0;-5920
-577;2472;1895;-3049;-1426344;-1.0;-3049
-300;-4858;-5158;4558;1457400;0.0;5074
8841;-4051;4790;12892;-35814891;-3.0;-11612
1958;7071;9029;-5113;13845018;0.0;7225
-2384;6791;4407;-9175;-16189744;-1.0;-5065
3826;-1938;1888;5764;-7414788;-2.0;-2404
5948;2645;8593;3303;15732460;2.0;7529
-8353;8418;65;-16771;-70315554;-1.0;-67
-8993;-8919;-17912;-74;80208567;1.0;502
1772;-1047;725;2819;-1855284;-2.0;-763
-3813;-2505;-6318;-1308;9551565;1.0;1836
-5462;4913;-549;-10375;-26834806;-2.0;-1637
-7884;-7437;-15321;-447;58633308;1.0;967
6507;-6620;-113;13127;-43076340;-1.0;-177
-6006;-6810;-12816;804;40900860;0.0;3564
-9275;6983;-2292;-16258;-64767325;-2.0;-16254
-8261;-9126;-17387;865;75389886;0.0;993
1480;-3775;-2295;5255;-5587000;-1.0;-2935
1719;-3445;-1726;5164;-5921955;-1.0;-3012
-470;503;33;-973;-236410;-1.0;-35
5274;-5661;-387;10935;-29856114;-1.0;-647
-8268;6115;-2153;-14383;-50558820;-2.0;-14249
-6273;8447;2174;-14720;-52988031;-1.0;-14464
9080;7171;16251;1909;65112680;1.0;16251
-6423;8127;1704;-14550;-52199721;-1.0;-1706
6796;-2553;4243;9349;-17350188;-3.0;-4981
5421;-9084;-3663;14505;-49244364;-1.0;-13911
4024;-4596;-572;8620;-18494304;-1.0;-7756
-6208;518;-5690;-6726;-3215744;-12.0;-6714
-9767;-5295;-15062;-4472;51716265;1.0;12936
-1853;2084;231;-3937;-3861652;-1.0;-3865
5858;-2407;3451;8265;-14100206;-3.0;-8069
-5480;9660;4180;-15140;-52936800;-1.0;-12508
5670;3357;9027;2313;19034190;1.0;6971
2305;1550;3855;755;3572750;1.0;3855
-1458;-3276;-4734;1818;4776408;0.0;2426
-7553;7536;-17;-15089;-56919408;-2.0;-241
3434;9774;13208;-6340;33563916;0.0;11076
-6388;-6023;-12411;-365;38474924;1.0;3957
-2709;3368;659;-6077;-9123912;-1.0;-1981
-5031;4637;-394;-9668;-23328747;-2.0;-444
-5593;-9100;-14693;3507;50896300;0.0;13907
-3047;-8059;-11106;5012;24555773;0.0;5276
4445;-6218;-1773;10663;-27639010;-1.0;-2325
-9018;8167;-851;-17185;-73650006;-2.0;-15583
5996;-2464;3532;8460;-14774144;-3.0;-7924
2869;-4560;-1691;7429;-13082640;-1.0;-6907
53;-2815;-2762;2868;-149195;-1.0;-2764
-7000;6169;-831;-13169;-43183000;-2.0;-847
1555;5082;6637;-3527;7902510;0.0;5577
8238;6260;14498;1978;51569880;1.0;14426
7077;-1181;5896;8258;-8357937;-6.0;-7994
-8853;2666;-6187;-11519;-23602098;-4.0;-10495
8870;3550;12420;5320;31488500;2.0;12152
-7780;3923;-3857;-11703;-30520940;-2.0;-4401
-2930;-2675;-5605;-255;7837750;1.0;259
-4057;1276;-2781;-5333;-5176732;-4.0;-2853
5459;-7095;-1636;12554;-38731605;-1.0;-3814
8304;537;8841;7767;4459248;15.0;8809
-9896;-3977;-13873;-5919;39356392;2.0;10543
8822;3953;12775;4869;34873366;2.0;11527
8545;-5471;3074;14016;-46749695;-2.0;-13376
-9989;4590;-5399;-14579;-45849510;-3.0;-14059
1497;-4941;-3444;6438;-7396677;-1.0;-5782
5637;3943;9580;1694;22226691;1.0;6498
-9466;4605;-4861;-14071;-43590930;-3.0;-13573
-7830;64;-7766;-7894;-501120;-123.0;-7894
-1574;-9620;-11194;8046;15141880;0.0;9142
-5274;5166;-108;-10440;-27245484;-2.0;-184
-3757;3831;74;-7588;-14393067;-1.0;-92
8052;9872;17924;-1820;79489344;0.0;14820
1288;-9315;-8027;10603;-11997720;-1.0;-8555
444;2322;2766;-1878;1030968;0.0;2222
7532;1625;9157;5907;12239500;4.0;6965
1311;1226;2537;85;1607286;1.0;469
4561;-5980;-1419;10541;-27274780;-1.0;-1675
2382;6403;8785;-4021;15251946;0.0;4173
-6322;5972;-350;-12294;-37754984;-2.0;-4070
4288;618;4906;3670;2649984;6.0;4778
-8770;-172;-8942;-8598;1508440;50.0;8938
-3758;-5159;-8917;1401;19387522;0.0;6795
-8844;5772;-3072;-14616;-51047568;-2.0;-13320
-9387;-861;-10248;-8526;8082207;10.0;10230
-5171;-6630;-11801;1459;34283730;0.0;3543
5288;-5881;-593;11169;-31098728;-1.0;-593
-6875;3811;-3064;-10686;-26200625;-2.0;-5178
9144;-2050;7094;11194;-18745200;-5.0;-11194
-403;-9336;-9739;8933;3762408;0.0;9701
2793;-7613;-4820;10406;-21263109;-1.0;-5974
-6243;67;-6176;-6310;-418281;-94.0;-6178
9123;8735;17858;388;79689405;1.0;444
-5494;-9089;-14583;3595;49934966;0.0;14069
7005;5253;12258;1752;36797265;1.0;4056
-4854;-9018;-13872;4164;43773372;0.0;12748
3171;-8927;-5756;12098;-28307517;-1.0;-11966
5160;1938;7098;3222;10000080;2.0;5050
1733;-6479;-4746;8212;-11228107;-1.0;-8076
-3537;-4887;-8424;1350;17285319;0.0;7878
-9492;5594;-3898;-15086;-53098248;-2.0;-12490
736;-4713;-3977;5449;-3468768;-1.0;-4233
-3777;-3208;-6985;-569;12116616;1.0;583
-7949;-8621;-16570;672;68528329;0.0;16032
-2018;-5595;-7613;3577;11290710;0.0;4667
-5790;-2233;-8023;-3557;12929070;2.0;7717
-382;-6237;-6619;5855;2382534;0.0;6433
4277;3718;7995;559;15901886;1.0;7731
-7603;6833;-770;-14436;-51951299;-2.0;-1796
3555;1805;5360;1750;6416775;1.0;2798
-1233;1852;619;-3085;-2283516;-1.0;-1005
-5710;692;-5018;-6402;-3951320;-9.0;-5370
2131;-4986;-2855;7117;-10625166;-1.0;-6955
5181;-5621;-440;10802;-29122401;-1.0;-458
-3484;-3057;-6541;-427;10650588;1.0;1643
-1668;4571;2903;-6239;-7624428;-1.0;-5977
-9829;7184;-2645;-17013;-70611536;-2.0;-14965
-6404;5969;-435;-12373;-38225476;-2.0;-3667
6670;9069;15739;-2399;60490230;0.0;14691
-6731;-2582;-9313;-4149;17379442;2.0;4191
7165;6880;14045;285;49295200;1.0;285
6132;8987;15119;-2855;55108284;0.0;13551
-9315;-4424;-13739;-4891;41209560;2.0;13605
-9507;1952;-7555;-11459;-18557664;-5.0;-8835
-9798;325;-9473;-10123;-3184350;-31.0;-9985
-8835;-8399;-17234;-436;74205165;1.0;588
2064;-3315;-1251;5379;-6842160;-1.0;-1251
9223;-5068;4155;14291;-46742164;-2.0;-14285
7055;1945;9000;5110;13721975;3.0;7190
2670;872;3542;1798;2328240;3.0;2310
5517;-4684;833;10201;-25841628;-2.0;-1991
341;-6550;-6209;6891;-2233550;-1.0;-6337
2657;2640;5297;17;7014480;1.0;49
4230;4666;8896;-436;19737180;0.0;700
2217;490;2707;1727;1086330;4.0;2371
-6986;2798;-4188;-9784;-19546828;-3.0;-4520
-4323;-2556;-6879;-1767;11049588;1.0;6425
-3392;-7762;-11154;4370;26328704;0.0;4974
6819;3435;10254;3384;23423265;1.0;6088
1708;6760;8468;-5052;11546080;0.0;7364
-6648;-6266;-12914;-382;41656368;1.0;398
8299;-5962;2337;14261;-49478638;-2.0;-14115
-2602;-1273;-3875;-1329;3312346;2.0;3793
4340;-9182;-4842;13522;-39849880;-1.0;-13098
-2798;2188;-610;-4986;-6122024;-2.0;-610
9391;9302;18693;89;87355082;1.0;249
-7635;-9031;-16666;1396;68951685;0.0;16020
-3233;-4480;-7713;1247;14483840;0.0;7647
-1396;5153;3757;-6549;-7193588;-1.0;-4435
-6271;-8134;-14405;1863;51008314;0.0;1979
-1609;7248;5639;-8857;-11662032;-1.0;-6681
-5534;-7509;-13043;1975;41554806;0.0;2249
-5724;6712;988;-12436;-38419488;-1.0;-3172
5715;-9262;-3547;14977;-52932330;-1.0;-12927
-1720;6704;4984;-8424;-11530880;-1.0;-7304
-9553;5670;-3883;-15223;-54165510;-2.0;-13175
-1759;577;-1182;-2336;-1014943;-4.0;-1184
-2658;-945;-3603;-1713;2511810;2.0;2513
7464;2560;10024;4904;19107840;2.0;5928
-5400;-1167;-6567;-4233;6301800;4.0;4505
-4322;-1145;-5467;-3177;4948690;3.0;5273
-8490;951;-7539;-9441;-8073990;-9.0;-8863
-6670;8701;2031;-15371;-58035670;-1.0;-15345
3793;8162;11955;-4369;30958466;0.0;4403
-885;-5609;-6494;4724;4963965;0.0;5788
-2449;783;-1666;-3232;-1917567;-4.0;-2720
3734;2824;6558;910;10544816;1.0;1438
-7033;1606;-5427;-8639;-11294998;-5.0;-7487
-9496;4667;-4829;-14163;-44317832;-3.0;-14125
6225;-4380;1845;10605;-27265500;-2.0;-2379
-7199;1577;-5622;-8776;-11352823;-5.0;-6712
8383;-3830;4553;12213;-32106890;-3.0;-11851
-1990;-224;-2214;-1766;445760;8.0;1818
4394;191;4585;4203;839254;23.0;4501
-3984;4560;576;-8544;-18167040;-1.0;-7776
2655;-2551;104;5206;-6772905;-2.0;-938
-1404;4531;3127;-5935;-6361524;-1.0;-5321
5938;6497;12435;-559;38579186;0.0;3667
1181;-7653;-6472;8834;-9038193;-1.0;-6522
-3586;3632;46;-7218;-13024352;-1.0;-50
-1821;-2998;-4819;1177;5459358;0.0;3241
-795;818;23;-1613;-650310;-1.0;-41
2931;-2574;357;5505;-7544394;-2.0;-383
8882;-4179;4703;13061;-37117878;-3.0;-13025
-5094;8189;3095;-13283;-41714766;-1.0;-3097
-4804;4221;-583;-9025;-20277684;-2.0;-703
-3110;6633;3523;-9743;-20628630;-1.0;-5581
5972;-5939;33;11911;-35467708;-2.0;-103
-2384;4239;1855;-6623;-10105776;-1.0;-6593
-5389;-6655;-12044;1266;35863795;0.0;3314
4828;1129;5957;3699;5450812;4.0;5813
5438;2829;8267;2609;15384102;1.0;7731
7270;-8804;-1534;16074;-64005080;-1.0;-15878
-3952;215;-3737;-4167;-849680;-19.0;-4025
8404;6183;14587;2221;51961932;1.0;14579
3289;-502;2787;3791;-1651078;-7.0;-3373
-2295;-9360;-11655;7065;21481200;0.0;11385
6410;-9299;-2889;15709;-59606590;-1.0;-15705
-2754;5391;2637;-8145;-14846814;-1.0;-8143
-399;3289;2890;-3688;-1312311;-1.0;-3416
5016;-1102;3914;6118;-5527632;-5.0;-6102
7515;1447;8962;6068;10874205;5.0;6396
-9067;2969;-6098;-12036;-26919923;-4.0;-10484
9953;1429;11382;8524;14222837;6.0;9076
6588;-9599;-3011;16187;-63238212;-1.0;-15555
-7861;8758;897;-16619;-68846638;-1.0;-15491
3029;-46;2983;3075;-139334;-66.0;-3065
4054;-894;3160;4948;-3624276;-5.0;-3244
-3211;9497;6286;-12708;-30494867;-1.0;-10644
9299;-2956;6343;12255;-27487844;-4.0;-12249
-5518;-8547;-14065;3029;47162346;0.0;13551
7318;907;8225;6411;6637426;8.0;7965
-9755;-6255;-16010;-3500;61017525;1.0;15988
6021;-5009;1012;11030;-30159189;-2.0;-1046
9322;1143;10465;8179;10655046;8.0;8221
2844;8568;11412;-5724;24367392;0.0;10852
7515;3387;10902;4128;25453305;2.0;4192
-3021;-265;-3286;-2756;800565;11.0;2756
245;7878;8123;-7633;1930110;0.0;7731
1120;-2799;-1679;3919;-3134880;-1.0;-3727
-6053;-901;-6954;-5152;5453753;6.0;5152
8308;1635;9943;6673;13583580;5.0;9751
-6586;4068;-2518;-10654;-26791848;-2.0;-5726
-7301;9684;2383;-16985;-70702884;-1.0;-14673
4323;-2841;1482;7164;-12281643;-2.0;-7164
6292;9320;15612;-3028;58641440;0.0;15612
-8950;-5457;-14407;-3493;48840150;1.0;14245
1032;-6763;-5731;7795;-6979416;-1.0;-7779
3778;-4745;-967;8523;-17926610;-1.0;-7243
3182;9787;12969;-6605;31142234;0.0;10837
1239;-8584;-7345;9823;-10635576;-1.0;-9553
-239;-9954;-10193;9715;2379006;0.0;9743
8042;-7455;587;15497;-59953110;-2.0;-629
-2300;1849;-451;-4149;-4252700;-2.0;-4035
-6375;2970;-3405;-9345;-18933750;-3.0;-4989
42;-7036;-6994;7078;-295512;-1.0;-6994
-9363;7951;-1412;-17314;-74445213;-2.0;-15262
-7227;-4830;-12057;-2397;34906410;1.0;3815
-3529;-1549;-5078;-1980;5466421;2.0;3012
4555;-3380;1175;7935;-15395900;-2.0;-7417
8235;4531;12766;3704;37312785;1.0;12696
-8161;1838;-6323;-9999;-14999918;-5.0;-6351
-6182;-4909;-11091;-1273;30347438;1.0;2825
7168;5280;12448;1888;37847040;1.0;2208
-2286;4320;2034;-6606;-9875520;-1.0;-6158
4004;6517;10521;-2513;26094068;0.0;5841
-164;-6246;-6410;6082;1024344;0.0;6342
2931;-7656;-4725;10587;-22439736;-1.0;-5781
6613;2989;9602;3624;19766257;2.0;4728
-4118;-6282;-10400;2164;25869276;0.0;2204
-1288;8707;7419;-9995;-11214616;-1.0;-9989
-6390;-2303;-8693;-4087;14716170;2.0;4107
2895;-7124;-4229;10019;-20623980;-1.0;-4253
-1894;-7205;-9099;5311;13646270;0.0;6977
283;-1701;-1418;1984;-481383;-1.0;-1984
-585;-302;-887;-283;176670;1.0;869
2572;6129;8701;-3557;15763788;0.0;7677
-9280;-8245;-17525;-1035;76513600;1.0;1035
-7317;2551;-4766;-9868;-18665667;-3.0;-5476
-702;-9095;-9797;8393;6384690;0.0;8507
-9367;-8772;-18139;-595;82167324;1.0;1749
1516;9909;11425;-8393;15022044;0.0;9049
8082;78;8160;8004;630396;103.0;8156
-5807;6704;897;-12511;-38930128;-1.0;-3231
-8637;-6900;-15537;-1737;59595300;1.0;15183
-9492;6170;-3322;-15662;-58565640;-2.0;-15626
-6520;-7668;-14188;1148;49995360;0.0;1156
-5721;3919;-1802;-9640;-22420599;-2.0;-6424
-128;-9781;-9909;9653;1251968;0.0;9803
-5540;-4208;-9748;-1332;23312320;1.0;1484
-5384;3786;-1598;-9170;-20383824;-2.0;-7118
-9249;-5420;-14669;-3829;50129580;1.0;12555
-1454;1769;315;-3223;-2572126;-1.0;-837
-1644;-4977;-6621;3333;8182188;0.0;5403
-3012;8660;5648;-11672;-26083920;-1.0;-10776
-5103;-9621;-14724;4518;49095963;0.0;13946
-5142;6160;1018;-11302;-31674720;-1.0;-3078
-430;9456;9026;-9886;-4066080;-1.0;-9566
-648;-3848;-4496;3200;2493504;0.0;3456
-8393;-7327;-15720;-1066;61495511;1.0;15446
1490;-4932;-3442;6422;-7348680;-1.0;-5778
-3232;8757;5525;-11989;-28302624;-1.0;-11947
-585;-3743;-4328;3158;2189655;0.0;3286
-9653;-5238;-14891;-4415;50562414;1.0;12737
-876;-9312;-10188;8436;8157312;0.0;10036
-1026;7446;6420;-8472;-7639596;-1.0;-6424
-3330;-1158;-4488;-2172;3856140;2.0;2436
2183;6071;8254;-3888;13252993;0.0;7984
-4933;235;-4698;-5168;-1159255;-21.0;-5040
-5718;1288;-4430;-7006;-7364784;-5.0;-4958
9319;-203;9116;9522;-1891757;-46.0;-9390
5320;-1167;4153;6487;-6208440;-5.0;-4167
-1928;347;-1581;-2275;-669016;-6.0;-1757
-9584;7680;-1904;-17264;-73605120;-2.0;-15216
3172;-4887;-1715;8059;-15501564;-1.0;-8051
-1047;484;-563;-1531;-506748;-3.0;-1523
2318;8217;10535;-5899;19047006;0.0;10519
6547;-9047;-2500;15594;-59230709;-1.0;-15046
-1401;5643;4242;-7044;-7905843;-1.0;-4980
-6399;4138;-2261;-10537;-26479062;-2.0;-2261
8814;7263;16077;1551;64016082;1.0;15921
3395;-7025;-3630;10420;-23849875;-1.0;-5684
-7074;1317;-5757;-8391;-9316458;-6.0;-7813
6324;1681;8005;4643;10630644;3.0;7717
6625;-405;6220;7030;-2683125;-17.0;-6262
4621;9435;14056;-4814;43599135;0.0;14038
3174;9740;12914;-6566;30914760;0.0;10858
4449;-8552;-4103;13001;-38047848;-1.0;-12295
-6562;5714;-848;-12276;-37495268;-2.0;-4084
7341;4479;11820;2862;32880339;1.0;3538
-5757;3947;-1810;-9704;-22722879;-2.0;-6424
1580;-4418;-2838;5998;-6980440;-1.0;-5998
-7456;-4596;-12052;-2860;34267776;1.0;3308
3388;-8729;-5341;12117;-29573852;-1.0;-12069
-6899;-4465;-11364;-2434;30804035;1.0;2946
-9799;-3330;-13129;-6469;32630670;2.0;11079
4935;9033;13968;-4098;44577855;0.0;12302
-4124;9233;5109;-13357;-38076892;-1.0;-13323
-147;2554;2407;-2701;-375438;-1.0;-2409
-9935;6494;-3441;-16429;-64517890;-2.0;-16273
-7133;6558;-575;-13691;-46778214;-2.0;-579
-3846;2035;-1811;-5881;-7826610;-2.0;-2295
3129;7199;10328;-4070;22525671;0.0;4134
9987;-1043;8944;11030;-10416441;-10.0;-8978
5843;3455;9298;2388;20187565;1.0;7084
8237;2136;10373;6101;17594232;3.0;10357
-2483;6958;4475;-9441;-17276714;-1.0;-4765
-992;-5107;-6099;4115;5066144;0.0;4141
5082;7649;12731;-2567;38872218;0.0;3643
